dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,predicted_cnt
24.0,1.0,0.0,12.0,0.0,6.0,0.0,1.0,0.3025,0.5425,0.190304,155.0,856.0,1076.3765730802143
10.0,3.0,0.0,9.0,0.0,6.0,0.0,1.0,0.66,0.75375,0.153608,1750.0,3595.0,5529.57866276485
18.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,0.5075,0.695,0.178483,1353.0,2921.0,4369.895576641455
8.0,3.0,0.0,7.0,0.0,5.0,1.0,2.0,0.709167,0.757917,0.225129,692.0,3348.0,4035.471978810115
21.0,3.0,1.0,9.0,0.0,5.0,1.0,1.0,0.599167,0.66875,0.154229,1250.0,6917.0,8286.472744015073
12.0,2.0,0.0,4.0,0.0,2.0,1.0,2.0,0.5025,0.739167,0.274879,257.0,1777.0,1970.2302933331782
23.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,0.454167,0.554583,0.190913,516.0,4546.0,5095.232539289025
15.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.348333,0.53125,0.1816,141.0,4028.0,4153.597249445699
27.0,4.0,0.0,9.0,0.0,2.0,1.0,2.0,0.636667,0.885417,0.118171,477.0,3643.0,4054.451701615694
17.0,1.0,1.0,2.0,0.0,5.0,1.0,1.0,0.343333,0.634583,0.205846,349.0,3805.0,4181.260403407568
1.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.469167,0.507917,0.189067,304.0,4275.0,4572.021032408073
17.0,4.0,0.0,11.0,0.0,4.0,1.0,2.0,0.341667,0.575833,0.30536199999999997,139.0,2914.0,3007.7968085574425
7.0,4.0,0.0,12.0,0.0,3.0,1.0,3.0,0.41,0.970417,0.266175,50.0,655.0,613.5788168014006
21.0,4.0,0.0,11.0,0.0,1.0,1.0,3.0,0.4475,0.91,0.138054,220.0,2545.0,2677.7386080190636
13.0,3.0,0.0,8.0,0.0,6.0,0.0,2.0,0.685833,0.729583,0.211454,1504.0,2646.0,4300.352506467374
13.0,2.0,0.0,4.0,0.0,3.0,1.0,2.0,0.4125,0.819167,0.25061700000000003,209.0,1953.0,2111.9550856257474
25.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.294167,0.64375,0.161071,467.0,3803.0,4287.756474166707
24.0,2.0,1.0,5.0,0.0,4.0,1.0,1.0,0.655,0.716667,0.172896,1059.0,5711.0,6849.5891916835335
23.0,2.0,1.0,3.0,0.0,5.0,1.0,2.0,0.601667,0.694167,0.1163,1492.8242216811689,5893.0,7515.430341305152
12.0,3.0,0.0,8.0,0.0,5.0,1.0,1.0,0.708333,0.415,0.125621,1051.0,3854.0,4923.485898197179
20.0,3.0,1.0,9.0,0.0,4.0,1.0,1.0,0.546667,0.618333,0.11816700000000001,939.0,6781.0,7794.987229460337
14.0,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.4675,0.540417,0.1107,529.0,2738.0,3236.7546364310647
22.0,2.0,1.0,5.0,0.0,2.0,1.0,2.0,0.615,0.765833,0.11816700000000001,819.0,5254.0,6104.407576484317
2.0,3.0,0.0,9.0,0.0,5.0,1.0,2.0,0.643333,0.727083,0.139929,875.0,3852.0,4749.079944415446
28.0,3.0,0.0,6.0,0.0,2.0,1.0,1.0,0.744167,0.634167,0.144283,732.0,3916.0,4607.3929242593385
26.0,4.0,1.0,11.0,0.0,1.0,1.0,1.0,0.313333,0.535417,0.04665,337.0,4750.0,5038.65824809717
4.0,2.0,0.0,6.0,0.0,6.0,0.0,1.0,0.635,0.45625,0.123142,1869.0,3473.0,5537.8860307733885
21.0,3.0,1.0,8.0,0.0,2.0,1.0,1.0,0.649167,0.67375,0.07277080000000001,1081.0,5925.0,7048.212633843979
16.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.19,0.5225,0.23135799999999998,217.0,2081.0,2321.4501203450277
27.0,4.0,1.0,10.0,0.0,6.0,0.0,2.0,0.53,0.72,0.235692,1873.803559534531,5209.0,7323.810285982669
22.0,3.0,0.0,7.0,0.0,5.0,1.0,1.0,0.848333,0.580417,0.1331,562.0,2825.0,3330.4223879938168
4.0,3.0,1.0,7.0,1.0,3.0,0.0,1.0,0.789167,0.53875,0.13495,2172.947222145608,4841.0,7209.188105403344
14.0,2.0,0.0,6.0,0.0,2.0,1.0,1.0,0.604167,0.507083,0.269283,727.0,4164.0,4898.447036133877
12.0,3.0,0.0,7.0,0.0,2.0,1.0,1.0,0.794167,0.559167,0.200254,662.0,3596.0,4207.837986499942
22.0,4.0,1.0,10.0,0.0,1.0,1.0,1.0,0.4875,0.568333,0.08148330000000001,830.0,6228.0,7068.202972464805
18.0,3.0,1.0,7.0,0.0,3.0,1.0,1.0,0.793333,0.577083,0.137442,799.0,4914.0,5709.388209811771
6.0,2.0,1.0,4.0,0.0,5.0,1.0,1.0,0.403333,0.377083,0.300388,1807.0,4653.0,6634.557597347189
4.0,1.0,1.0,2.0,0.0,6.0,0.0,2.0,0.264167,0.779583,0.121896,384.0,2448.0,2922.9555438451694
11.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.274167,0.8475,0.131221,92.0,2085.0,2136.134417746492
7.0,2.0,1.0,4.0,0.0,6.0,0.0,1.0,0.4375,0.25416700000000003,0.274871,2204.506333537753,3605.0,6078.052649718437
3.0,2.0,1.0,5.0,0.0,4.0,1.0,2.0,0.56,0.768333,0.133696,764.0,5657.0,6475.39061619478
21.0,3.0,1.0,7.0,0.0,6.0,0.0,3.0,0.595833,0.865417,0.2133,1264.0,3195.0,4616.516037420116
24.0,3.0,0.0,8.0,0.0,3.0,1.0,1.0,0.673333,0.605,0.253108,949.0,4181.0,5150.649246361824
6.0,3.0,1.0,9.0,0.0,4.0,1.0,2.0,0.696667,0.810417,0.142421,611.0,5592.0,6223.525366411968
17.0,3.0,1.0,8.0,0.0,5.0,1.0,1.0,0.723333,0.570833,0.231354,1483.0,5665.0,7265.482608285287
10.0,3.0,1.0,8.0,0.0,5.0,1.0,2.0,0.7158329999999999,0.7158329999999999,0.238813,1065.0,4721.0,5854.777664053491
7.0,4.0,1.0,12.0,0.0,5.0,1.0,2.0,0.320833,0.764167,0.1306,349.0,4659.0,5016.593250337214
15.0,4.0,0.0,11.0,0.0,2.0,1.0,2.0,0.53,0.68875,0.199633,449.0,3746.0,4148.41177990901
22.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.1625,0.79625,0.199638,196.0,1781.0,2002.8972061733243
1.0,2.0,1.0,6.0,0.0,5.0,1.0,2.0,0.654167,0.755417,0.23756300000000002,533.0,3594.0,4144.0473286955075
14.0,3.0,1.0,8.0,0.0,2.0,1.0,1.0,0.726667,0.686667,0.169158,1128.0,5656.0,6832.121775719369
19.0,3.0,1.0,7.0,0.0,4.0,1.0,1.0,0.77,0.600417,0.165429,888.0,5703.0,6623.575625596324
8.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.2925,0.420833,0.12065,316.0,1817.0,2080.1543717020904
21.0,4.0,1.0,11.0,0.0,3.0,1.0,1.0,0.353333,0.61375,0.103246,615.0,4531.0,5146.290080472779
26.0,3.0,1.0,6.0,0.0,2.0,1.0,1.0,0.630833,0.37333299999999997,0.347642,1077.0,6365.0,7513.067370338991
9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13833299999999998,0.434167,0.36195,54.0,768.0,815.800043745928
16.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,0.365217,0.776522,0.20311700000000002,321.0,1871.0,2167.535280775359
20.0,4.0,0.0,10.0,0.0,4.0,1.0,1.0,0.475833,0.63625,0.18306943989531982,471.0,3724.0,4163.071028394488
18.0,1.0,0.0,2.0,0.0,5.0,1.0,1.0,0.521667,0.516667,0.264925,579.0,2348.0,2934.4606216545462
11.0,2.0,0.0,6.0,0.0,6.0,0.0,1.0,0.725,0.654583,0.15485,1729.0,3237.0,5146.032303664519
16.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,0.31666700000000003,0.7529170000000001,0.091425,74.0,2931.0,2976.388068091548
30.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.269167,0.400833,0.215792,126.0,3498.0,3587.588636119158
23.0,4.0,1.0,9.0,0.0,0.0,0.0,1.0,0.529167,0.46708299999999997,0.22325799999999998,1659.6944938227527,5453.0,7265.464471496333
10.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,0.726667,0.538333,0.133721,2224.0,4374.0,6796.72229364171
18.0,4.0,1.0,10.0,0.0,4.0,1.0,2.0,0.5225,0.728333,0.23693699999999998,1008.0,6501.0,7592.8733277178635
22.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,0.396667,0.835417,0.344546,120.0,907.0,1023.7467716669751
7.0,1.0,0.0,1.0,0.0,5.0,1.0,2.0,0.196522,0.49869600000000003,0.168726,148.0,1362.0,1473.5537135442826
16.0,4.0,1.0,12.0,0.0,0.0,0.0,2.0,0.3625,0.83875,0.100742,538.0,3248.0,3812.62974561856
30.0,2.0,1.0,5.0,0.0,3.0,1.0,2.0,0.656667,0.67,0.134329,745.0,6110.0,6897.160305940254
30.0,2.0,1.0,3.0,0.0,5.0,1.0,2.0,0.37,0.580833,0.138067,796.0,4663.0,5519.864582030167
12.0,4.0,0.0,11.0,0.0,6.0,0.0,1.0,0.356667,0.552917,0.212062,1275.0,2792.0,4205.79459357695
11.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,0.6533329999999999,0.71375,0.11505399999999999,1633.0,3413.0,5156.574915473759
1.0,4.0,1.0,11.0,0.0,4.0,1.0,2.0,0.365833,0.581667,0.157346,466.0,5520.0,6000.8571756754645
10.0,1.0,1.0,3.0,0.0,6.0,0.0,1.0,0.2875,0.35041700000000003,0.22575,968.0,3150.0,4280.043483531814
14.0,4.0,0.0,11.0,0.0,1.0,1.0,1.0,0.53,0.587083,0.306596,595.0,3891.0,4454.874285033722
4.0,3.0,1.0,9.0,0.0,2.0,1.0,1.0,0.725833,0.755,0.236321,867.0,5997.0,6902.988942818477
8.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.5,0.275833,0.232596,2230.0,2939.0,5366.103374970768
4.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,0.573333,0.42625,0.1988771276188161,734.0,2381.0,3071.4469449721128
15.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.606667,0.507917,0.225129,2168.987052479244,4286.0,6662.044543770363
3.0,4.0,0.0,12.0,0.0,6.0,0.0,1.0,0.299167,0.612917,0.0957833,706.0,2908.0,3689.926964301025
28.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,0.484167,0.48125,0.291671,674.0,5024.0,5736.633630263311
8.0,1.0,1.0,3.0,0.0,4.0,1.0,1.0,0.5275,0.5675,0.24024365192975036,486.0,4896.0,5419.148151323714
5.0,3.0,1.0,7.0,0.0,4.0,1.0,1.0,0.8275,0.457917,0.194029,1405.0,4836.0,6307.374217702269
20.0,1.0,1.0,1.0,0.0,5.0,1.0,2.0,0.2175,0.45,0.20275,115.0,3048.0,3161.5663807407054
14.0,4.0,1.0,10.0,0.0,0.0,0.0,1.0,0.521667,0.640417,0.27861199999999997,2080.0,4559.0,6836.702478422
17.0,3.0,1.0,7.0,0.0,2.0,1.0,1.0,0.818333,0.505833,0.114429,921.0,5865.0,6792.817809900223
16.0,4.0,0.0,11.0,0.0,3.0,1.0,3.0,0.456667,0.93,0.136829,145.0,1672.0,1726.1068430079144
23.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.221739,0.423043,0.094113,139.0,1778.0,1855.544764577367
26.0,3.0,0.0,7.0,0.0,2.0,1.0,1.0,0.771667,0.540833,0.200258,750.0,3840.0,4555.663542851131
18.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.4725,0.81,0.126883,2207.0,3685.0,6123.298959986248
12.0,4.0,1.0,11.0,1.0,1.0,0.0,1.0,0.485,0.741667,0.173517,1097.0,5172.0,6370.816750538048
30.0,4.0,0.0,11.0,0.0,3.0,1.0,1.0,0.325,0.613333,0.271158,188.0,3425.0,3567.237926298079
25.0,2.0,0.0,5.0,0.0,3.0,1.0,1.0,0.660833,0.69625,0.15423299999999998,740.0,4238.0,4979.809238759207
5.0,2.0,0.0,5.0,0.0,4.0,1.0,1.0,0.459167,0.44416700000000003,0.295392,614.0,3819.0,4451.807441199936
31.0,1.0,0.0,12.0,0.0,6.0,0.0,1.0,0.41,0.615833,0.220154,665.0,1820.0,2614.1935787497523
6.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,0.678333,0.6,0.121896,673.0,3875.0,4512.578953448906
15.0,4.0,1.0,10.0,0.0,1.0,1.0,2.0,0.561667,0.7075,0.296037,760.0,5115.0,5889.125391874348
20.0,4.0,1.0,12.0,0.0,4.0,1.0,2.0,0.33,0.667917,0.132463,314.0,3814.0,4109.977720529476
20.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.28,0.507826,0.22908299999999998,502.0,2627.0,3185.1308012022528
10.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.426667,0.8575,0.146767,1188.0,1707.0,2970.2320741270396
7.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,0.404167,0.513333,0.345779,432.0,4484.0,4955.5273728232805
23.0,3.0,1.0,6.0,0.0,6.0,0.0,1.0,0.731667,0.534583,0.179721,2177.2120081560547,4801.0,7217.888129315031
16.0,3.0,1.0,7.0,0.0,1.0,1.0,1.0,0.763333,0.645,0.164187,1088.0,5742.0,6858.055812721908
26.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.279167,0.41,0.205229,515.0,2874.0,3444.346098197459
13.0,3.0,1.0,7.0,0.0,5.0,1.0,2.0,0.731667,0.485833,0.08085,1511.0,5988.0,7601.6170885088995
3.0,3.0,0.0,7.0,0.0,0.0,0.0,2.0,0.716667,0.6825,0.228858,1837.456454572574,2367.0,4324.797338866114
8.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,0.25666700000000003,0.722917,0.133721,109.0,2693.0,2773.563527203055
6.0,3.0,0.0,7.0,0.0,3.0,1.0,1.0,0.72,0.743333,0.149883,784.0,3845.0,4608.320130255086
17.0,4.0,1.0,11.0,0.0,6.0,0.0,1.0,0.325,0.545417,0.179729,1313.0,4316.0,5804.04758821392
24.0,1.0,1.0,12.0,0.0,1.0,1.0,2.0,0.231304,0.791304,0.07723039999999999,174.0,746.0,884.816273053031
19.0,2.0,0.0,5.0,0.0,4.0,1.0,2.0,0.530833,0.829583,0.10821300000000002,735.0,3840.0,4591.585347388074
27.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.25304299999999996,0.493913,0.1843,472.0,1221.0,1696.4963553592597
13.0,4.0,1.0,11.0,0.0,2.0,1.0,2.0,0.343333,0.662917,0.342046,327.0,3767.0,4079.9964899250244
25.0,3.0,1.0,8.0,0.0,6.0,0.0,2.0,0.661667,0.712917,0.244408,1829.0,4224.0,6278.317093239089
9.0,3.0,0.0,7.0,0.0,6.0,0.0,1.0,0.733333,0.609167,0.16791199999999998,1988.0,3348.0,5526.016724653363
12.0,4.0,0.0,12.0,0.0,1.0,1.0,1.0,0.238333,0.670833,0.06345,143.0,3167.0,3221.679417650381
2.0,3.0,1.0,9.0,0.0,0.0,0.0,2.0,0.696667,0.815,0.06407080000000001,2167.0411569296884,3197.0,5532.312276388225
29.0,1.0,1.0,12.0,0.0,6.0,0.0,2.0,0.253333,0.7529170000000001,0.124383,159.0,1182.0,1428.1454515409105
20.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.3325,0.47375,0.20772100000000002,1047.0,1424.0,2549.0436163809736
25.0,3.0,1.0,7.0,0.0,3.0,1.0,1.0,0.724167,0.45,0.1648,1383.0,6790.0,8264.423111094935
23.0,4.0,0.0,11.0,0.0,3.0,1.0,2.0,0.440833,0.757917,0.335825,112.0,2454.0,2502.797392354171
31.0,3.0,1.0,7.0,0.0,2.0,1.0,1.0,0.713333,0.704167,0.165425,968.0,6248.0,7256.013003782224
9.0,1.0,0.0,3.0,0.0,3.0,1.0,2.0,0.295833,0.775417,0.22015,191.0,1700.0,1858.1223866964247
